Test Epoch: 86, Accuracy: 69.310, Precision: 69.438, Recall: 69.310, F1: 68.789, L_1: 21300, U_1: 28700, L_2: 21405, U_2: 28595
Test Epoch: 87, Accuracy: 69.590, Precision: 70.025, Recall: 69.590, F1: 69.204, L_1: 21305, U_1: 28695, L_2: 21476, U_2: 28524
Test Epoch: 88, Accuracy: 69.730, Precision: 70.211, Recall: 69.730, F1: 69.389, L_1: 21531, U_1: 28469, L_2: 21300, U_2: 28700
Test Epoch: 89, Accuracy: 69.500, Precision: 69.973, Recall: 69.500, F1: 69.108, L_1: 21450, U_1: 28550, L_2: 21488, U_2: 28512
Test Epoch: 90, Accuracy: 69.890, Precision: 70.199, Recall: 69.890, F1: 69.510, L_1: 21369, U_1: 28631, L_2: 21500, U_2: 28500
Test Epoch: 91, Accuracy: 70.000, Precision: 70.435, Recall: 70.000, F1: 69.551, L_1: 21500, U_1: 28500, L_2: 21330, U_2: 28670
Test Epoch: 92, Accuracy: 70.120, Precision: 70.709, Recall: 70.120, F1: 69.683, L_1: 21391, U_1: 28609, L_2: 21354, U_2: 28646
Test Epoch: 93, Accuracy: 70.050, Precision: 70.702, Recall: 70.050, F1: 69.842, L_1: 21372, U_1: 28628, L_2: 21555, U_2: 28445
Test Epoch: 94, Accuracy: 70.400, Precision: 71.041, Recall: 70.400, F1: 70.119, L_1: 21498, U_1: 28502, L_2: 21460, U_2: 28540
Test Epoch: 95, Accuracy: 70.160, Precision: 70.809, Recall: 70.160, F1: 69.806, L_1: 21448, U_1: 28552, L_2: 21511, U_2: 28489
Test Epoch: 96, Accuracy: 70.260, Precision: 70.696, Recall: 70.260, F1: 69.754, L_1: 21423, U_1: 28577, L_2: 21460, U_2: 28540
Test Epoch: 97, Accuracy: 69.660, Precision: 70.637, Recall: 69.660, F1: 69.132, L_1: 21319, U_1: 28681, L_2: 21393, U_2: 28607
Test Epoch: 98, Accuracy: 70.300, Precision: 71.096, Recall: 70.300, F1: 69.965, L_1: 21364, U_1: 28636, L_2: 21488, U_2: 28512
Test Epoch: 99, Accuracy: 70.230, Precision: 71.160, Recall: 70.230, F1: 69.946, L_1: 21392, U_1: 28608, L_2: 21491, U_2: 28509
Test Epoch: 100, Accuracy: 70.500, Precision: 71.087, Recall: 70.500, F1: 70.131, L_1: 21375, U_1: 28625, L_2: 21507, U_2: 28493
Test Epoch: 101, Accuracy: 70.310, Precision: 70.763, Recall: 70.310, F1: 69.899, L_1: 21458, U_1: 28542, L_2: 21347, U_2: 28653
Test Epoch: 102, Accuracy: 70.260, Precision: 70.527, Recall: 70.260, F1: 69.755, L_1: 21395, U_1: 28605, L_2: 21522, U_2: 28478
