Test Epoch: 73, Accuracy: 69.100, Precision: 69.082, Recall: 69.100, F1: 68.461, L_1: 30173, U_1: 19827, L_2: 29606, U_2: 20394
Test Epoch: 74, Accuracy: 69.510, Precision: 69.819, Recall: 69.510, F1: 69.000, L_1: 29755, U_1: 20245, L_2: 29717, U_2: 20283
Test Epoch: 75, Accuracy: 70.160, Precision: 70.248, Recall: 70.160, F1: 69.700, L_1: 29976, U_1: 20024, L_2: 29891, U_2: 20109
Test Epoch: 76, Accuracy: 69.740, Precision: 70.075, Recall: 69.740, F1: 69.209, L_1: 30081, U_1: 19919, L_2: 29714, U_2: 20286
Test Epoch: 77, Accuracy: 69.750, Precision: 70.206, Recall: 69.750, F1: 69.347, L_1: 29920, U_1: 20080, L_2: 29801, U_2: 20199
Test Epoch: 78, Accuracy: 69.560, Precision: 69.949, Recall: 69.560, F1: 69.062, L_1: 29993, U_1: 20007, L_2: 30144, U_2: 19856
Test Epoch: 79, Accuracy: 69.850, Precision: 70.058, Recall: 69.850, F1: 69.319, L_1: 30106, U_1: 19894, L_2: 30052, U_2: 19948
Test Epoch: 80, Accuracy: 69.630, Precision: 70.108, Recall: 69.630, F1: 69.081, L_1: 29976, U_1: 20024, L_2: 29976, U_2: 20024
Test Epoch: 81, Accuracy: 69.450, Precision: 69.687, Recall: 69.450, F1: 69.050, L_1: 30093, U_1: 19907, L_2: 29900, U_2: 20100
Test Epoch: 82, Accuracy: 70.080, Precision: 70.708, Recall: 70.080, F1: 69.751, L_1: 29992, U_1: 20008, L_2: 30091, U_2: 19909
Test Epoch: 83, Accuracy: 69.380, Precision: 69.657, Recall: 69.380, F1: 68.822, L_1: 30094, U_1: 19906, L_2: 30082, U_2: 19918
Test Epoch: 84, Accuracy: 69.840, Precision: 70.051, Recall: 69.840, F1: 69.326, L_1: 29858, U_1: 20142, L_2: 30000, U_2: 20000
Test Epoch: 85, Accuracy: 70.370, Precision: 70.731, Recall: 70.370, F1: 69.934, L_1: 30010, U_1: 19990, L_2: 30083, U_2: 19917
Test Epoch: 86, Accuracy: 70.030, Precision: 70.555, Recall: 70.030, F1: 69.601, L_1: 30341, U_1: 19659, L_2: 30272, U_2: 19728
Test Epoch: 87, Accuracy: 70.630, Precision: 70.864, Recall: 70.630, F1: 70.226, L_1: 29955, U_1: 20045, L_2: 29839, U_2: 20161
Test Epoch: 88, Accuracy: 70.150, Precision: 70.616, Recall: 70.150, F1: 69.715, L_1: 30050, U_1: 19950, L_2: 30156, U_2: 19844
Test Epoch: 89, Accuracy: 70.440, Precision: 70.761, Recall: 70.440, F1: 69.977, L_1: 29880, U_1: 20120, L_2: 30437, U_2: 19563
Test Epoch: 90, Accuracy: 70.210, Precision: 70.623, Recall: 70.210, F1: 69.714, L_1: 30258, U_1: 19742, L_2: 30202, U_2: 19798
Test Epoch: 91, Accuracy: 70.140, Precision: 70.255, Recall: 70.140, F1: 69.623, L_1: 30179, U_1: 19821, L_2: 30236, U_2: 19764
Test Epoch: 92, Accuracy: 70.820, Precision: 71.029, Recall: 70.820, F1: 70.467, L_1: 30239, U_1: 19761, L_2: 30162, U_2: 19838
Test Epoch: 93, Accuracy: 70.600, Precision: 70.712, Recall: 70.600, F1: 70.130, L_1: 30353, U_1: 19647, L_2: 30195, U_2: 19805
Test Epoch: 94, Accuracy: 70.390, Precision: 71.073, Recall: 70.390, F1: 70.055, L_1: 30235, U_1: 19765, L_2: 30322, U_2: 19678
Test Epoch: 95, Accuracy: 70.310, Precision: 70.708, Recall: 70.310, F1: 69.941, L_1: 30448, U_1: 19552, L_2: 30415, U_2: 19585
Test Epoch: 96, Accuracy: 71.010, Precision: 71.262, Recall: 71.010, F1: 70.531, L_1: 30578, U_1: 19422, L_2: 30597, U_2: 19403
Test Epoch: 97, Accuracy: 70.460, Precision: 70.400, Recall: 70.460, F1: 69.877, L_1: 30617, U_1: 19383, L_2: 30464, U_2: 19536
Test Epoch: 98, Accuracy: 70.780, Precision: 71.166, Recall: 70.780, F1: 70.269, L_1: 30412, U_1: 19588, L_2: 30269, U_2: 19731
Test Epoch: 99, Accuracy: 71.210, Precision: 71.265, Recall: 71.210, F1: 70.753, L_1: 30114, U_1: 19886, L_2: 30329, U_2: 19671
Test Epoch: 100, Accuracy: 70.810, Precision: 71.314, Recall: 70.810, F1: 70.415, L_1: 30402, U_1: 19598, L_2: 30565, U_2: 19435
Test Epoch: 101, Accuracy: 70.600, Precision: 71.157, Recall: 70.600, F1: 70.094, L_1: 30304, U_1: 19696, L_2: 30429, U_2: 19571
